QUALIDADE CONFIABILIDADE SUST.CIENT.(CST)
AVALIAÇÃO GERAL CONTEÚDO DIDÁTICO-METODOLÓGICOS TÉCNICOS CST
Titulo,Visualizações,Gosteis,Não Gosteis,Comentarios,Duração,Data De Publicação,Link,Nome Canal,Inscritos,1.Clareza nos Objetivos,2.Objet.Alcanc.,3.É relevante?,4.Fonte de Inform.,5.Clareza Inform.,6.Viés e Equilíbrio,7.Fontes Adic.de Inform.,8.Refer.Áreas Incert.,9.Comp.Quím.Á.Nucl.Nucleotd.,10.Papel do DNA/RNA,11.Diferenças DNA/RNA,12.Forças.Intermolec.Conform.DNA,13.Influência PH.Temp.Enovelamento e Mudança Conform.Estrutural DNA,14.Contextualização com Cotidiano e Transdiscip.,15.Clareza e Coesão,16.Aproxim.com Aceito na Comun.Científica,17.Recursos eficazes e Duração do Vídeo,18.Edição dos Vídeos,19.Dados Autorais e Produção,20.Interligação Aspectos Técnicos/Didat.Metodol. e de Conteúdo,21.Zooms/Enquad/Visão de Fundo,22.Editado Profissionalmente,23.Qualidade do vídeo como Fonte de Inform.,24.Infor.Claras e Objetivas,25.Fontes Confiáveis de Inform.,26.Inform.Equilibrada e Imparcial,27.Confiabilidade do vídeo como Fonte de Inform.,
Nucleic Acid Hybridization and Probes,163991,3304,65,50,PT7M12S,2019-05-22T12:17:32Z,https://youtu.be/29EC7L3t19c,Frank Lectures,108000,4,4,4,4,4,3,3,1,5,5,5,2,2,3,4,3,4,4,3,4,4,4,4,4,4,4,4,
Nucleic Acid | Structure of DNA and RNA | Nucleotide | Agriculture Online Classes,12627,361,6,18,PT23M,2020-04-19T13:47:32Z,https://youtu.be/weyPuFLgg5w,Agriculture RS Rajput,84100,4,4,4,5,5,5,3,1,5,5,5,3,3,4,4,4,4,4,3,3,3,4,3,4,3,4,4,
DNA x RNA - Ácidos Nucleicos,2169,71,3,11,PT15M54S,2017-05-03T23:45:43Z,https://youtu.be/5ymTheKEsRs,Bruno Ramello,11400,5,5,5,4,4,4,4,1,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,5,
DNA | Ácidos Nucleicos | RESUMO | 5 Fatos,1586,58,0,9,PT5M10S,2020-06-28T20:00:02Z,https://youtu.be/EtkGfaLAQOY,DESCOMPLICANDO by HRF,10500,4,4,4,4,4,3,3,1,4,4,4,2,2,4,4,3,4,4,2,4,4,4,3,4,3,4,4,
Ácidos nucléicos,50,5,0,0,PT5M43S,2020-09-27T21:05:34Z,https://youtu.be/s8EQnsbdItU,Professor Hudy,391,5,5,4,4,4,4,3,1,5,5,5,3,2,4,4,4,4,4,3,4,4,4,4,4,4,4,4,
ÁCIDOS NUCLEICOS,10,2,0,0,PT11M37S,2020-05-15T10:16:15Z,https://youtu.be/ZrDrBYjlmkA,Ciências em Foco,55,5,5,,5,5,5,4,1,5,5,5,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
OS ÁCIDOS NUCLEICOS -DNA e RNA - PARTE 1/3,54,5,0,0,PT50M39S,2020-10-12T00:49:17Z,https://youtu.be/XiC2SfBCQPM,A escola de biologia,206,5,5,5,5,4,4,4,1,5,5,5,4,3,4,4,3,5,5,5,5,5,5,5,5,5,5,5,
OS ÁCIDOS NUCLEICOS - DNA e RNA - PARTE 2/3,34,3,0,0,PT30M4S,2020-10-12T01:38:00Z,https://youtu.be/uY17dpeL3-k,A escola de biologia,206,5,5,5,5,5,4,,1,5,5,5,2,2,4,4,3,5,5,5,4,5,5,5,5,5,5,5,
Ácidos Nucleicos - DNA e RNA em Mais Biologia,1965,226,2,21,PT14M12S,2018-05-21T14:29:25Z,https://youtu.be/apGsRMlKe5o,Mais Biologia,29800,5,5,5,5,5,5,4,2,5,5,5,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
ácidos nucléicos 2,99,9,0,0,PT23M47S,2020-03-31T21:37:16Z,https://youtu.be/bekWwpHsPgg,Emerson Ribeiro Garcia,141,5,5,5,5,4,4,4,1,5,5,5,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,,
Aula de Material Genético,188,19,0,0,PT20M59S,2021-02-25T02:01:46Z,https://youtu.be/eYU0NtqYSdE,Discutindo Biologia,1200,5,5,5,5,5,4,4,1,5,5,5,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,
Estrutura dos Ácidos Nucleicos - Ensino Superior,161,Indisponivel!,0,1,PT13M50S,2021-02-23T00:47:55Z,https://youtu.be/FyjnsPluEd4,Castro Bio,548,5,5,5,5,5,4,5,1,5,5,5,4,4,5,5,5,5,5,5,5,5,4,4,4,4,4,5,
BIOQUÍMICA AULA 6   ÁCIDOS NUCLEICOS PARTE 3 RNA,319,14,0,0,PT19M27S,2020-06-04T00:03:58Z,https://youtu.be/d272USpTDcs,DIRETO AO PONTO VESTIBULAR,1590,5,5,5,5,5,5,5,1,4,4,4,3,3,5,5,5,5,5,5,5,5,5,4,4,4,4,4,
Nucleic Acids,55147,283,6,27,PT3M35S,2010-08-30T21:12:26Z,https://youtu.be/_fTYZVkmMuU,Brightstorm,215000,5,5,5,4,5,4,4,1,5,5,5,2,2,4,4,5,5,5,1,4,4,4,4,4,4,4,4,
Structure of DNA | DNA Scale Model | Watson & Crick Model | 11th Biology |Federal | A levels Biology,12755,378,7,40,PT27M12S,2020-06-26T16:41:24Z,https://youtu.be/GCvcfPSosEc,Dr Sohail Lectures,30900,4,4,4,4,5,5,4,1,4,4,4,3,3,3,3,3,3,4,3,3,3,4,4,4,4,4,4,
Concept of Nucleic acid Structure | Life Sciences | Unacademy Live - CSIR UGC NET | Virendra Singh,52733,1574,42,59,PT1H1M8S,2020-01-24T19:52:24Z,https://youtu.be/LYjEJYGa83M,Unacademy Live - CSIR UGC NET,194000,5,5,5,4,4,4,5,1,4,4,4,4,3,3,5,3,3,4,2,4,3,3,3,4,3,4,4,
Nucleic Acids (Introduction/ Episode 1),525,72,0,12,PT45M46S,2020-06-08T17:29:16Z,https://youtu.be/d6iZIWsDuWs,NUWARINDA OSBERT UG,1210,4,4,4,4,5,5,4,2,5,5,5,4,3,3,3,4,5,4,3,3,2,1,2,3,4,4,4,
Tutorial 25: Nucleic Acids,620,17,0,1,PT1H3M34S,2016-12-23T16:48:01Z,https://youtu.be/xDI1_aL6kM4,Chem With Amanda,20700,4,4,4,3,4,4,4,2,4,4,5,3,1,5,5,5,4,4,4,3,3,2,3,4,4,4,4,
Nucleic Acid full detail along with 14 questions DNA/RNA in english part 1 by Dr Hadi Khan,38302,1300,19,179,PT1H11M32S,2019-10-10T04:05:24Z,https://youtu.be/heLzFKSYaTk,Medical globe By Dr. Hadi,47800,4,4,5,5,4,4,3,1,5,5,5,4,4,4,4,4,4,4,4,3,1,1,3,4,3,4,4,
Macromolecules : Nucleic Acids DNA RNA,3703,77,3,9,PT21M21S,2020-07-10T06:32:18Z,https://youtu.be/6DW6P6qDw6c,ASiD BIOLOGY,2930,4,4,4,4,3,4,2,1,5,5,5,4,3,4,4,4,5,5,3,4,4,4,4,5,4,4,4,
Nucleic acids/ types of nucleic acids/ nucleotides and nucleoside and DNA structure.,87,9,0,3,PT24M14S,2020-05-31T17:26:33Z,https://youtu.be/Pf7xz5xpdTU,yash pathology,4060,4,4,5,4,3,4,3,2,4,4,4,4,3,4,4,4,5,5,5,5,4,5,5,4,5,4,5,
Nucleic Acids Nucleotides nucleoside Pentose sugar Heterocyclic nitrogenous Bases Phosphate ion DNA,107,11,0,16,PT27M2S,2020-10-27T05:15:12Z,https://youtu.be/27OVbzoM-YM,Chemistry Point Of View By Shikha Abrol,648,4,4,4,3,3,3,3,1,4,4,4,3,2,4,4,4,4,4,1,3,3,4,4,3,3,4,4,
AP Biology - Biochemistry - Lesson 6: Nucleic Acids,2105,25,3,0,PT31M35S,2015-12-01T13:57:46Z,https://youtu.be/3KkgYZdAwL4,Robert Tait,5570,5,5,4,4,4,4,4,2,4,4,4,4,3,3,4,4,4,4,4,4,4,3,3,4,4,4,4,
Life Sciences: Nucleic Acids Grade 12,6670,135,4,14,PT41M32S,2021-02-05T01:03:35Z,https://youtu.be/dTKOi4BF1vM,B.T.S Biology Class,2070,5,5,5,4,3,4,4,1,,4,4,3,3,4,4,3,4,3,3,4,1,3,3,4,4,3,4,
NEET : NUCLEIC ACIDS | NUCLEOSIDES | NUCLEOTIDES | NEET BIOLOGY CLASSES | NEET 2021 BIOLOGY,95,4,0,1,PT40M45S,2020-11-30T11:58:32Z,https://youtu.be/Ynr2EwLyO6g,BIO GOOGLE,7400,5,5,4,3,3,4,3,1,4,4,4,3,1,1,2,3,3,4,1,3,4,3,3,4,4,4,4,
Lecture 22 : Nucleic Acid,1067,14,0,0,PT40M49S,2020-07-13T12:46:45Z,https://youtu.be/kADdNueZNOA,IIT Kharagpur July 2018,229000,4,4,4,4,4,3,2,1,4,4,4,3,2,4,4,3,4,4,4,4,3,3,4,4,4,4,4,
Nucleic Acid and Nucleotide | Learn Biology | Class 12 | NEET 2021 | Milestones in Biology,193,14,0,3,PT28M9S,2020-10-06T17:26:41Z,https://youtu.be/qopuqeiFGM0,Milestones in Biology,833,5,5,4,4,4,5,3,1,4,4,4,4,4,5,5,3,5,5,5,5,4,4,4,4,4,4,4,
Nucleic acids | DNA and RNA,202,20,0,2,PT25M12S,2020-12-17T16:01:40Z,https://youtu.be/wFQJtS4PUek,educational scholar,1390,4,4,4,3,3,4,4,1,4,4,5,3,3,,4,3,5,4,4,4,4,4,4,4,4,4,4,
Ácidos Nucleicos,525,40,0,2,PT21M7S,2020-09-01T18:00:11Z,https://youtu.be/IBnSJlf3vSo,Rennólogia,6100,5,5,5,4,4,4,4,1,5,5,5,3,3,4,4,3,5,5,5,4,4,4,4,4,4,4,5,
Exercício sobre Ácidos Nucleicos | DNA e RNA | BIOLOGIA | ENEM 2019 | ESTUDANDO,1010,74,0,3,PT4M34S,2019-05-04T17:17:49Z,https://youtu.be/bItHav6haaA,Estudando,261,5,5,5,4,4,3,3,1,4,4,4,3,2,2,4,4,4,4,4,4,3,4,4,4,4,4,4,
Ácidos nucléicos,127,9,0,0,PT11M54S,2020-05-26T01:25:44Z,https://youtu.be/VY_gXosaOak,Sou BIO/ Lógico!!,215,4,4,4,4,5,5,5,1,5,5,5,3,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,
Ácidos Nucleicos (DNA e RNA) - ENEM,170,20,0,8,PT15M45S,2020-12-14T10:00:12Z,https://youtu.be/uE4-D7NYHSc,Aprendendo Ciências com Doutora Mamãe,6570,5,5,5,5,5,5,4,4,5,5,5,4,3,5,5,5,4,5,4,5,5,5,5,5,5,5,5,
Biotecnologia - Ácidos Nucleicos,452,28,0,1,PT20M6S,2021-01-15T04:43:43Z,https://youtu.be/s_v6V94iUWI,Canal do Dudei,150,5,5,5,5,5,5,3,1,5,5,5,3,2,5,5,5,5,5,3,4,4,5,4,4,4,4,4,
Xtensivo   Biologia   Ácidos Nucléicos   Paulo Vitor,1929,43,0,0,PT5M23S,2014-07-05T21:15:12Z,https://youtu.be/OpsNIjdzcLc,Canal ProjetoX,219000,5,5,5,4,4,4,4,1,4,4,4,3,1,4,4,2,4,4,3,4,4,4,4,4,4,4,4,
REVISÃO DE ÁCIDOS NUCLEICOS - 1º ANO,94,23,0,0,PT23M3S,2020-05-18T20:25:24Z,https://youtu.be/a3gtlz9ezbM,Jardel Batalha,330,5,5,5,4,4,4,3,1,4,4,5,4,2,4,4,4,4,3,4,4,4,4,3,3,3,4,4,
Ácidos nucleicos,135,10,0,0,PT7M57S,2020-05-15T11:00:35Z,https://youtu.be/yYYET9IuWKk,Núcleo de Estudos em Saúde e Qualidade de Vida,1960,5,5,4,5,5,4,3,1,4,4,5,2,2,4,4,4,5,5,5,3,4,4,4,4,4,4,4,
Ácidos nucleicos. Você sabe o que são ?,140,15,0,0,PT4M26S,2020-11-24T23:00:09Z,https://youtu.be/VWkuzt-tXZo,Angelo Vieira,12600,4,4,4,4,5,3,3,2,4,4,5,2,2,4,5,3,4,4,4,5,5,4,4,4,4,5,5,
Ácidos Nucleicos - DNA,17,0,0,0,PT14M48S,2020-08-27T03:28:51Z,https://youtu.be/zztg2_6_a3g,Prof Jaime Jr,156,4,4,4,4,5,4,4,1,4,4,5,3,3,4,4,4,4,4,5,4,4,4,4,4,4,4,4,
Ácidos Nucleicos (DNA e RNA),94,19,0,2,PT22M11S,2020-06-01T13:40:24Z,https://youtu.be/RJfIBC1Vp4g,Biologia com Rapadura,249,5,5,5,5,4,3,3,2,5,5,5,4,4,4,4,4,4,5,2,3,4,4,4,4,4,4,4,
ENEM 2022/ Biologia - Ácidos Nucleicos: Exercícios,3881,355,4,7,PT10M7S,2019-07-18T22:20:58Z,https://youtu.be/WW6JBUqViOA,No Enem 2022,88800,4,4,4,4,4,3,2,1,4,4,4,3,2,4,4,4,3,3,2,3,3,3,2,2,3,3,4,
ÁCIDOS NUCLEICOS   DNA e RNA,180,13,0,0,PT38M6S,2020-05-20T16:59:56Z,https://youtu.be/NUPyyeFhRB4,Aulas de Biologia da BioAna,250,4,4,4,3,3,4,3,1,4,4,4,4,2,4,4,2,3,4,2,4,4,4,3,3,4,4,4,
BIOQUÍMICA AULA 6   ÁCIDOS NUCLEICOS PARTE 3 RNA,319,14,0,0,PT19M27S,2020-06-04T00:03:58Z,https://youtu.be/d272USpTDcs,DIRETO AO PONTO VESTIBULAR,1590,4,4,4,3,4,4,4,1,5,5,5,5,3,4,4,4,5,5,4,5,5,5,5,5,4,5,5,
ÁCIDOS NUCLEICOS,34,5,0,2,PT14M12S,2020-05-03T20:33:54Z,https://youtu.be/eiPw_orgcZ0,Colégio Estadual Plínio Jaime CEPJ,122,4,4,4,4,4,4,4,1,5,5,5,3,2,4,4,3,3,3,2,4,4,4,4,4,4,4,4,
Bioquímica: Ácidos Nucleicos (1ºano),225,11,0,0,PT36M52S,2020-05-04T21:27:50Z,https://youtu.be/CMagvTRE-ic,CEPI- SYLVIO DE MELLO - A ESCOLA DA ESCOLHA,518,5,5,5,5,5,4,3,2,5,5,5,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Ácidos Nucleicos,102,10,0,1,PT15M8S,2020-05-13T16:10:31Z,https://youtu.be/Hi2rUdf_KmM,BIO É VIDA,621,5,5,5,5,4,4,3,1,4,4,4,3,2,5,5,4,5,5,3,5,5,5,5,5,5,5,5,
9º Ano e 2ª Série - Biologia - Ácidos Nucleicos,65,6,0,0,PT39M25S,2020-04-24T00:31:00Z,https://youtu.be/xvbOh6ft-Wg,Colégio Oásis de Jacobina Aulas,719,4,4,4,4,5,4,3,1,4,4,4,4,4,5,5,5,4,5,5,4,3,3,4,3,4,4,4,
Componentes químicos da célula: Ácidos Nucleicos e Proteínas,411,31,0,0,PT1H13M13S,2020-09-13T15:00:10Z,https://youtu.be/vPjciW7hBVs,Jean Queiroz,168,5,5,4,4,4,3,3,1,5,5,5,4,3,5,5,4,5,4,4,4,4,4,4,4,4,4,4,
Ácidos nucleicos (Pré-Vestibular),18,2,0,0,PT23M1S,2020-08-16T18:09:39Z,https://youtu.be/MgP0O0Qn2UQ,Thiago Lins,136,4,4,4,3,5,5,5,1,4,4,4,4,3,4,5,4,4,5,4,4,5,5,4,4,3,4,4,
O que são Ácidos Nucleicos? - Resumo para o ENEM: Biologia | Descomplica,97776,2206,44,33,PT3M20S,2012-03-09T17:57:05Z,https://youtu.be/6sMRiFKKbMo,Descomplica,4070000,4,4,4,3,3,4,4,3,5,5,5,1,1,2,3,3,4,4,2,3,3,4,3,4,4,3,4,
17 - Bioquímica - Ácidos nucleicos - Estrutura do nucleotídeo,84,7,0,0,PT2M32S,2020-03-28T21:49:10Z,https://youtu.be/YsPuqgAuDTQ,André Penaforte,867,5,5,5,4,4,4,3,1,5,5,5,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
ÁCIDOS NUCLEICOS E AÇÃO GÊNICA - parte 1,2918,163,3,3,PT16M55S,2019-05-22T20:25:04Z,https://youtu.be/KPqAqHIPKy8,Personal Educa,6510,4,4,4,4,4,5,3,2,5,5,5,4,3,4,4,4,4,5,5,5,4,4,4,4,4,5,5,
Ácidos nucleicos - Aula 2,588,53,0,2,PT14M48S,2020-03-19T15:50:13Z,https://youtu.be/ffOsNMaZnfc,Ricardo Lobo,953,4,4,4,4,4,4,3,2,5,5,5,4,1,4,4,4,4,4,4,,,,,,,,,
18 - Ácidos Nucleicos parte 1 - DNA e Replicação,5846,499,4,46,PT35M5S,2019-06-16T20:43:38Z,https://youtu.be/lcx0f5X7vp8,Bio com Landim,17900,4,4,4,4,5,5,3,2,4,4,4,2,1,4,4,3,4,4,4,4,4,4,4,4,3,4,4,
Estrutura e função dos ácidos nucleicos,1263,53,0,1,PT12M58S,2020-03-17T01:31:43Z,https://youtu.be/qT01YfD_JKw,IDEA EAD,622,4,4,4,5,5,4,4,2,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,3,4,4,
Ácidos Nucleicos - Estrutura e Função - Genética Aula 02,1644,70,0,3,PT10M29S,2020-06-23T01:29:25Z,https://youtu.be/86uC0m3gKJ0,Prof. Anderson Garcia,621,4,4,4,4,4,,2,1,4,4,4,4,2,4,4,4,4,4,4,4,4,4,3,4,4,4,4,
Estrutura do DNA e do RNA - nucleotídeos - biologia - Professor Ameba,8674,122,4,6,PT9M28S,2015-03-16T18:57:15Z,https://youtu.be/thM8wzSrriY,Alexandre Falchi,458,4,4,4,4,4,4,4,2,5,5,5,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Nucleotídeos - Parte 4,26,0,0,0,PT14M46S,2020-04-09T15:39:47Z,https://youtu.be/-XJicPLbYoY,Vagner Lunge,21,4,4,4,4,4,4,3,2,5,5,5,5,3,5,5,4,5,5,4,5,4,4,4,4,4,4,4,
INTERVIEW WITH NUCLEOTIDES,650,0,0,0,PT3M33S,2013-08-27T15:34:56Z,https://youtu.be/23Uy6DCUqrM,Walter Jahn,18500,4,4,4,3,3,3,3,1,4,4,4,3,1,4,4,4,4,4,4,4,4,,4,4,4,4,4,
BIOLOGÍA - Ácidos nucleicos [ZOOM],18784,878,13,58,PT1H56M40S,2020-06-14T17:19:59Z,https://youtu.be/e3iMTX7yLsw,Grupo Ciencias San Marcos,169000,4,4,4,4,4,4,1,2,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Hibridização de Ácidos Nucleicos,3219,153,2,4,PT7M3S,2020-08-09T23:11:41Z,https://youtu.be/1Ux9-srX3QE,Douglas Adamoski,4500,4,4,4,3,4,4,3,1,4,4,4,3,2,4,4,4,4,4,3,4,5,5,4,4,4,4,4,
Ácidos nucleicos - tipos y clasificación,54091,638,18,16,PT4M3S,2015-08-18T14:43:47Z,https://youtu.be/juDyR5SXjx4,unProfesor,1440000,4,4,3,3,4,4,3,1,4,4,4,2,1,2,4,3,3,3,3,4,4,4,4,,4,4,4,
Biologia Molecular – Ácidos Nucleicos - Biologia Básica - Me Salva! Saúde,9927,560,3,8,PT12M2S,2020-07-07T13:00:12Z,https://youtu.be/eyk6CgTTwiI,Me Salva! Ciências da Saúde,8440,4,4,4,3,4,3,2,2,4,4,4,3,1,3,4,3,4,4,4,4,5,4,4,4,4,4,4,
Ácidos Nucleicos generalidades | Ácidos nucleicos parte I,13258,329,2,7,PT11M56S,2018-12-28T20:59:59Z,https://youtu.be/xTvpY696E38,Bioquímica de Pastor,34300,5,5,5,5,5,5,4,2,5,5,5,3,1,4,5,4,5,5,5,5,5,5,5,5,5,5,5,
Ácidos Nucleicos,15069,Indisponivel!,4,Indisponivel!,PT4M44S,2011-04-04T01:13:33Z,https://youtu.be/D2s_aHxQwCA,Madeleine Fránquez,123,4,4,4,3,4,4,2,1,4,4,4,3,1,4,4,4,5,5,4,5,5,4,4,4,4,4,4,
Aula 102 ÁCIDOS NUCLEICOS BIOQUÍMICA,1794,134,4,22,PT15M2S,2016-12-02T20:49:53Z,https://youtu.be/PpvYudTlgAI,Carecas de Saber Videoaulas,154000,4,4,3,3,4,4,3,1,4,4,4,3,1,4,4,3,4,4,3,4,3,3,3,4,4,4,4,
ÁCIDOS NUCLEICOS - CLASE COMPLETA - ADN - ARN - NUCLEOTIDOS - NUCLEOSIDOS,20247,739,3,56,PT1H59S,2021-01-10T23:15:30Z,https://youtu.be/sLEFdKXfVpw,INFLUENCER BIOLÓGICO ✔,40100,5,5,5,5,5,5,4,2,5,5,5,5,2,4,5,5,5,5,4,5,5,5,5,5,5,5,5,
ÁCIDOS NUCLEICOS E SÍNTESE PROTEICA,3725,269,2,19,PT36M19S,2019-01-16T21:00:04Z,https://youtu.be/wuztz3jij-I,Marcos André BIOONLINE,25200,5,5,5,5,5,5,4,2,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
ÁCIDOS NUCLEICOS E DIAGNÓSTICO DE DOENÇAS VIRAIS,2902,115,4,1,PT16M8S,2020-04-02T23:00:12Z,https://youtu.be/Ojr8oXd8IK8,SIG Cuidado Farmacêutico,3240,5,5,5,5,5,5,5,2,5,5,5,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
Las biomoléculas - glúcidos/ lípidos/ proteínas y ácidos nucleicos |Todo sobre la Célula 2| Biología,774528,13034,454,284,PT9M13S,2016-09-10T04:44:30Z,https://youtu.be/p0k0T2epEd8,APRENDO PLUS,10000,5,5,5,5,5,5,5,3,5,5,5,3,3,5,5,5,5,5,5,5,5,5,5,5,4,5,5,
Ácidos Nucleicos: Nucleotídeos e DNA,544,38,0,6,PT22M54S,2019-06-16T14:02:00Z,https://youtu.be/QQCsTMvgOIE,Digenal Cerqueira,7550,5,5,4,4,4,4,4,2,5,5,5,3,3,5,5,5,5,5,3,5,5,4,4,5,5,5,5,
BIOLOGIA - EXERCÍCIOS COMENTADOS – ÁCIDOS NUCLEICOS DUPLICAÇÃO E TRANSCRIÇÃO,580,31,0,3,PT55M30S,2020-10-08T19:19:03Z,https://youtu.be/pREKB_5I0r4,Biologando com a Tia Pri,809,5,5,5,4,5,4,4,2,5,5,5,4,3,5,5,5,5,5,5,5,4,5,5,5,4,5,5,
Glicídios e ácidos nucleicos - Bioquímica - Biologia | Euduca,700,30,2,3,PT10M4S,2016-08-13T18:14:05Z,https://youtu.be/lFpG2M7VZko,Euduca,9960,4,4,4,4,5,4,3,2,5,5,5,3,1,4,4,3,4,4,4,5,5,5,4,5,4,4,4,
Estrutura e Função dos Ácidos Nucleicos - Professora Glauciane,479,37,0,0,PT6M47S,2020-08-19T16:49:36Z,https://youtu.be/1fe0po1kVM4,Wesley Oliveira Condé,17,5,5,5,5,5,5,4,2,5,5,5,3,3,5,5,5,5,5,3,5,5,5,5,5,5,4,5,
11- Biología celular. Ácidos nucleicos,35020,640,13,0,PT9M46S,2019-09-06T20:19:50Z,https://youtu.be/Aet30t9wb2c,UBAXXI,171000,5,5,5,5,4,4,4,2,5,5,5,4,3,5,5,5,5,5,5,4,4,4,4,4,4,4,5,
Ácidos Nucleicos: Descripción de la estructura química,87074,611,15,20,PT25M4S,2015-03-29T06:33:27Z,https://youtu.be/O6HsJZzQhK0,AcademiaVasquez,227000,5,5,5,5,4,5,4,2,5,5,5,4,3,5,5,5,5,5,4,5,5,5,5,5,5,5,5,
BIOLOGÍA SELECTIVIDAD. ÁCIDOS NUCLEICOS,26041,625,4,33,PT22M27S,2020-05-11T11:21:06Z,https://youtu.be/rP19D8iNI_E,PevauSOS,7020,4,4,4,4,4,4,3,2,4,4,4,2,2,4,5,4,4,4,2,5,4,4,4,4,4,4,4,
Aula 21: Importância dos ácidos nucleicos,490,24,0,0,PT9M44S,2020-06-19T01:36:20Z,https://youtu.be/Wm76n2DbxHs,Academia Fernandinho Beltrão,18000,5,5,4,3,4,4,4,3,4,4,4,2,2,4,4,4,4,4,4,4,4,3,4,4,4,4,4,
DNA - ÁCIDOS NUCLEICOS,1604,132,0,14,PT23M16S,2016-03-21T16:38:51Z,https://youtu.be/S7YJw3ZvGBE,Beth Biologia,5900,4,4,4,3,4,4,3,2,5,5,5,4,2,5,4,3,4,4,4,3,4,4,3,4,4,4,4,
Ácidos Nucleicos #Aula05,880,37,0,4,PT15M16S,2015-06-08T20:24:49Z,https://youtu.be/R4R1YwgBRMY,Biologia Sem Limites,25700,4,4,4,4,5,5,4,2,5,5,5,3,3,4,4,4,4,4,3,5,5,5,4,4,4,4,4,
19 - Ácidos Nucleicos - parte 2 - Transcrição e RNA,3406,306,5,42,PT43M50S,2019-06-23T15:47:32Z,https://youtu.be/aUxatsKpTtM,Bio com Landim,17900,5,5,5,5,5,5,4,2,5,5,5,4,3,2,5,4,5,5,5,5,5,4,4,5,5,5,5,
✔️BIOMOLÉCULAS ORGÁNICAS   ÁCIDOS NUCLEICOS ✔️✔️✔️,5051,114,8,5,PT22M45S,2019-11-13T12:27:16Z,https://youtu.be/OlOQ1dI-CWA,Biología y Ciencia,4450,5,5,5,5,5,4,4,1,5,5,5,4,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
Ácidos nucleicos.Características/ estructura y funciones.,1903,51,2,0,PT12M43S,2020-07-21T23:40:11Z,https://youtu.be/hBZHxXnFZjc,Claudia González Vega,203,5,5,5,4,5,4,4,2,5,5,5,4,2,4,5,4,5,5,5,4,5,5,5,5,5,5,5,
Ácidos Nucleicos: Estructura química fundamental,110941,1192,41,17,PT9M54S,2015-03-27T21:22:57Z,https://youtu.be/DRpxpgXJWdw,AcademiaVasquez,227000,4,4,4,4,4,4,4,2,4,4,4,4,3,4,4,,4,3,3,5,4,4,3,4,4,4,4,
10-Biología.Ácidos nucleicos: ADN y ARN,37582,626,10,0,PT8M29S,2019-09-05T12:53:34Z,https://youtu.be/7BA31FpmldQ,UBAXXI,171000,4,4,4,4,4,4,3,2,4,4,4,2,1,4,4,3,4,4,4,4,44,4,4,4,3,4,4,
Acidos Nucleicos,21523,240,8,5,PT35M17S,2017-04-22T05:32:21Z,https://youtu.be/f_eBgqhbpA4,Alberto Garcìa,6030,5,5,5,5,5,5,4,1,5,5,5,3,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
Ácidos Nucleicos: Diferencias entre el ADN y el ARN,29569,293,14,10,PT15M52S,2015-04-05T07:07:48Z,https://youtu.be/iRI9MBhlGu0,AcademiaVasquez,227000,5,5,5,4,5,5,5,2,5,5,5,3,2,5,5,4,5,5,5,4,4,4,5,5,5,5,5,
Exercícios Ácidos Nucleicos Relação de Chargaff,2992,209,2,8,PT28M57S,2019-05-30T18:57:44Z,https://youtu.be/g_iFgcaHbZA,Aventuras Biológicas Prof. Paulo Roberto BIO,13500,5,5,5,4,4,4,3,1,4,4,4,3,2,4,4,3,4,4,4,4,4,4,4,4,4,4,4,
Ácidos nucleicos: Aspectos generales y clasificación,237375,8411,202,127,PT5M23S,2020-04-26T21:02:02Z,https://youtu.be/uBtDa4j26IM,Scienza Educación,69400,4,4,4,4,4,5,4,2,5,5,5,3,2,4,4,4,4,4,4,5,5,5,5,4,4,4,4,
ácidos nucleicos,10364,433,9,11,PT3M52S,2015-08-26T11:05:15Z,https://youtu.be/lqceqmKOQ1c,Planeta Biológico,10000,4,4,4,4,4,4,4,2,4,4,4,,2,3,4,2,3,3,3,3,3,3,4,3,3,4,4,
Ácidos nucleicos I,2712,145,4,0,PT8M27S,2018-06-07T12:00:04Z,https://youtu.be/ZnVXZCo9rh4,Dá Uma Força,98500,5,5,5,3,4,4,3,2,4,4,4,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
